IATA,ICAO,Name,Country,City
SRJ,SLSB,Capitán Germán Quiroga Guardia Airport,Bolivia,San Borja
SRL,,Palo Verde Airport,Mexico,"Santa Rosalía, Baja California Sur"
SRM,,Sandringham Station Airport,Australia,"Sandringham Station, Queensland"
SRN,YSRN,Strahan Airport,Australia,"Strahan, Tasmania"
SRO,,Santana Ramos Airport,Colombia,Santana Ramos
SRP,ENSA,"Stord Airport, Sørstokken",Norway,Stord
SRQ,KSRQ,Sarasota–Bradenton International Airport,United States,"Sarasota / Bradenton, Florida"
SRR,,Dunwich Airport,Australia,"North Stradbroke Island, Queensland"
SRS,,San Marcos Airport,Colombia,San Marcos
SRT,HUSO,Soroti Airport,Uganda,Soroti
SRV,,Stony River Airport,United States,"Stony River, Alaska"
SRW,KRUQ,Rowan County Airport ,United States,"Salisbury, North Carolina"
SRX,HLGD,Gardabya Airport,Libya,Sirte
SRY,OINZ,Dasht-e Naz Airport,Iran,Sari
SRZ,SLET,El Trompillo Airport,Bolivia,Santa Cruz de la Sierra
SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport,Brazil,"Salvador, Bahia"
SSB,,Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) ,United States Virgin Islands,Saint Croix
SSC,KSSC,Shaw Air Force Base,United States,"Sumter, South Carolina"
SSD,,San Felipe Airport,Colombia,San Felipe
SSE,VASL,Solapur Airport,India,"Solapur, Maharashtra"
SSF,KSSF,Stinson Municipal Airport,United States,"San Antonio, Texas"
SSG,FGSL,Malabo International Airport (Saint Isabel Airport),Equatorial Guinea,Malabo
SSH,HESH,Sharm el-Sheikh International Airport,Egypt,Sharm el-Sheikh
SSI,KSSI,Malcolm McKinnon Airport,United States,"Brunswick, Georgia"
SSJ,ENST,"Sandnessjøen Airport, Stokka",Norway,Sandnessjøen
SSK,,Sturt Creek Airport,Australia,"Sturt Creek, Western Australia"
SSL,SKSL,Santa Rosalía Airport,Colombia,Santa Rosalía
SSN,RKSM,Seoul Air Base,South Korea,Seoul
SSO,SNLO,São Lourenço Airport,Brazil,"São Lourenço, Minas Gerais"
SSP,,Silver Plains Airport,Australia,"Silver Plains, Queensland"
SSQ,,La Sarre Airport ,Canada,"La Sarre, Quebec"
SSR,NVSH,Sara Airport,Vanuatu,Sara
SSS,,Siassi Airport,Papua New Guinea,Umboi Island (Siassi)
SST,SAZL,Santa Teresita Airport,Argentina,"Santa Teresita, Buenos Aires"
SSV,,Siasi Airport,Philippines,Siasi
SSW,,Stuart Island Airpark,United States,"Stuart Island, Washington"
SSY,FNBC,Mbanza Congo Airport,Angola,M'banza-Kongo
SSZ,SBST,Santos Air Force Base,Brazil,"Santos, São Paulo"
STA,EKVJ,Stauning Vestjylland Airport,Denmark,Skjern
STB,SVSZ,Miguel Urdaneta Fernández Airport,Venezuela,Santa Bárbara del Zulia
STC,KSTC,St. Cloud Regional Airport,United States,"St. Cloud, Minnesota"
STD,SVSO,Mayor Buenaventura Vivas Airport,Venezuela,"Santo Domingo, Táchira"
STE,KSTE,Stevens Point Municipal Airport,United States,"Stevens Point, Wisconsin"
STF,YSTI,Stephens Island Airport,Australia,"Stephens Island, Queensland"
STG,PAPB,St. George Airport ,United States,"St. George, Alaska"
STH,YSMR,Strathmore Airport,Australia,"Strathmore Station, Queensland"
STI,MDST,Cibao International Airport,Dominican Republic,Santiago de los Caballeros
STJ,KSTJ,Rosecrans Memorial Airport,United States,"St. Joseph, Missouri"
STK,KSTK,Sterling Municipal Airport,United States,"Sterling, Colorado"
STL,KSTL,Lambert–St. Louis International Airport,United States,"St. Louis, Missouri"
STM,SBSN,Santarém-Maestro Wilson Fonseca Airport,Brazil,"Santarém, Pará"
STN,EGSS,London Stansted Airport,United Kingdom,"London, England"
STO,,metropolitan area6,Sweden,Stockholm
STP,KSTP,St. Paul Downtown Airport (Holman Field),United States,"St. Paul / Minneapolis, Minnesota"
STQ,KOYM,St. Marys Municipal Airport ,United States,"St. Marys, Pennsylvania"
STR,EDDS,Stuttgart Airport,Germany,"Stuttgart, Baden-Württemberg"
STS,KSTS,Charles M. Schulz–Sonoma County Airport,United States,"Santa Rosa, California"
STT,TIST,Cyril E. King Airport,United States Virgin Islands,St. Thomas Island
STV,VASU,Surat Airport,India,"Surat, Gujarat"
STW,URMT,Stavropol Shpakovskoye Airport,Russia,"Stavropol, Stavropol Krai"
STX,TISX,Henry E. Rohlsen Airport,United States Virgin Islands,Saint Croix
STY,SUSO,Nueva Hespérides International Airport,Uruguay,Salto
STZ,SWST,Santa Terezinha Airport,Brazil,"Santa Terezinha, Mato Grosso"
SUA,KSUA,Witham Field,United States,"Stuart, Florida"
SUB,WARR,Juanda International Airport,Indonesia,Surabaya
SUD,KSUD,Stroud Municipal Airport,United States,"Stroud, Oklahoma"
SUE,KSUE,Door County Cherryland Airport,United States,"Sturgeon Bay, Wisconsin"
SUF,LICA,Lamezia Terme International Airport,Italy,"Lamezia Terme, Calabria"
SUG,RPMS,Surigao Airport,Philippines,Surigao City
SUH,OOSR,Sur Airport,Oman,Sur
SUI,UGSS,Sukhumi Babushara Airport (Dranda Airport),Georgia,Sukhumi
SUJ,LRSM,Satu Mare International Airport,Romania,Satu Mare
SUK,UEBS,Sakkyryr Airport,Russia,"Batagay-Alyta (Sakkyryr), Yakutia"
SUL,OPSU,Sui Airport,Pakistan,Sui
SUM,KSMS,Sumter Airport ,United States,"Sumter, South Carolina"
SUN,KSUN,Friedman Memorial Airport,United States,"Hailey / Sun Valley, Idaho"
SUO,,Sunriver Airport ,United States,"Sunriver, Oregon"
SUP,WART,Trunojoyo Airport,Indonesia,Sumenep
SUQ,SESC,Sucúa Airport,Ecuador,Sucúa
SUR,,Summer Beaver Airport,Canada,"Summer Beaver, Ontario"
SUS,KSUS,Spirit of St. Louis Airport,United States,"St. Louis, Missouri"
SUT,HTSU,Sumbawanga Airport,Tanzania,Sumbawanga
SUU,KSUU,Travis Air Force Base,United States,"Fairfield, California"
SUV,NFNA,Nausori International Airport,Fiji,Suva
SUW,KSUW,Richard I. Bong Airport,United States,"Superior, Wisconsin"
SUX,KSUX,Sioux Gateway Airport (Colonel Bud Day Field),United States,"Sioux City, Iowa"
SUY,UENS,Suntar Airport,Russia,"Suntar, Yakutia"
SUZ,,Suria Airport,Papua New Guinea,Suria
SVA,PASA,Savoonga Airport,United States,"Savoonga, Alaska"
SVB,FMNS,Sambava Airport,Madagascar,Sambava
SVC,KSVC,Grant County Airport,United States,"Silver City, New Mexico"
SVD,TVSA,Argyle International Airport,Saint Vincent and the Grenadines,Saint Vincent
SVE,KSVE,Susanville Municipal Airport,United States,"Susanville, California"
SVF,DBBS,Savé Airport,Benin,Savé
SVG,ENZV,"Stavanger Airport, Sola",Norway,Stavanger
SVH,KSVH,Statesville Regional Airport,United States,"Statesville, North Carolina"
SVI,SKSV,Eduardo Falla Solano Airport,Colombia,San Vicente del Caguán
SVJ,ENSH,"Svolvær Airport, Helle",Norway,Svolvær
SVK,,Silver Creek Airport,Belize,Silver Creek
SVL,EFSA,Savonlinna Airport,Finland,Savonlinna
SVM,,St Pauls Airport,Australia,"St Pauls, Queensland"
SVN,KSVN,Hunter Army Airfield,United States,"Savannah, Georgia"
SVO,UUEE,Sheremetyevo International Airport,Russia,Moscow
SVP,FNKU,Kuito Airport,Angola,Kuito
SVQ,LEZL,Seville Airport,Spain,"Seville, Andalusia"
SVS,,Stevens Village Airport,United States,"Stevens Village, Alaska"
SVT,FBSV,Savuti Airport,Botswana,Savuti
SVU,NFNS,Savusavu Airport,Fiji,Savusavu
SVW,PASV,Sparrevohn LRRS Airport,United States,"Sparrevohn, Alaska"
SVX,USSS,Koltsovo International Airport,Russia,"Yekaterinburg, Sverdlovsk Oblast"
SVY,,Savo Airport,Solomon Islands,Savo Island
SVZ,SVSA,Juan Vicente Gómez International Airport,Venezuela,San Antonio del Táchira
SWA,ZGOW,Jieyang Chaoshan International Airport,China,"Shantou / Jieyang / Chaozhou, Guangdong"
SWB,,Shaw River Airport,Australia,"Shaw River, Western Australia"
SWC,YSWL,Stawell Airport,Australia,"Stawell, Victoria"
SWD,PAWD,Seward Airport,United States,"Seward, Alaska"
SWE,,Siwea Airport,Papua New Guinea,Siwea
SWF,KSWF,Stewart International Airport,United States,"Newburgh, New York"
SWG,,Satwag Airport,Papua New Guinea,Satwag
SWH,YSWH,Swan Hill Airport,Australia,"Swan Hill, Victoria"
SWJ,NVSX,South West Bay Airport,Vanuatu,South West Bay
SWL,RPSV,San Vicente Airport,Philippines,"San Vicente, Palawan"
SWM,,Suia-Missu Airport,Brazil,"Alto Boa Vista, Mato Grosso"
SWN,OPSW,Sahiwal Airport,Pakistan,Sahiwal
SWO,KSWO,Stillwater Regional Airport,United States,"Stillwater, Oklahoma"
SWP,FYSM,Swakopmund Airport,Namibia,Swakopmund
SWQ,WADS,Sultan Muhammad Kaharuddin III Airport,Indonesia,Sumbawa Besar
SWR,,Silur Airport,Papua New Guinea,Silur
SWS,EGFH,Swansea Airport,United Kingdom,"Swansea, Wales"
SWT,UNSS,Strezhevoy Airport,Russia,"Strezhevoy, Tomsk Oblast"
SWU,RKSW,Suwon Air Base,South Korea,Suwon
SWV,UHMW,Severo-Evensk Airport,Russia,"Evensk, Magadan Oblast"
SWW,KSWW,Avenger Field,United States,"Sweetwater, Texas"
SWX,FBSW,Shakawe Airport,Botswana,Shakawe
SWY,WMBA,Sitiawan Airport,Malaysia,"Sitiawan, Perak"
SXA,,Sialum Airport,Papua New Guinea,Sialum
SXB,LFST,Strasbourg Airport,France,"Strasbourg, Alsace"
SXE,YWSL,West Sale Airport,Australia,"Sale, Victoria"
SXG,FLSN,Senanga Airport,Zambia,Senanga
SXH,,Sehulea Airport,Papua New Guinea,Sehulea
SXI,OIBS,Sirri Island Airport,Iran,Sirri Island
SXJ,ZWSS,Shanshan Airport,China,"Shanshan, Xinjiang"
SXK,WAPI,Saumlaki Airport,Indonesia,Saumlaki
SXL,EISG,Sligo Airport,Ireland,Sligo
SXM,TNCM,Princess Juliana International Airport,Kingdom of the Netherlands,Sint Maarten
SXN,FBSN,Sua Pan Airport,Botswana,Sua Pan
SXO,SWFX,São Félix do Araguaia Airport,Brazil,"São Félix do Araguaia, Mato Grosso"
SXP,,Sheldon Point Airport,United States,"Nunam Iqua, Alaska"
SXQ,PASX,Soldotna Airport,United States,"Soldotna, Alaska"
SXR,VISR,Sheikh ul-Alam International Airport,India,"Srinagar, Jammu and Kashmir"
SXS,WBKH,Sahabat Airport,Malaysia,"Sahabat, Sabah"
SXT,WMAN,Sungai Tiang Airport,Malaysia,"Taman Negara, Pahang"
SXU,HASD,Soddu Airport,Ethiopia,Sodo
SXV,VOSM,Salem Airport,India,"Salem, Tamil Nadu"
SXW,,Sauren Airport,Papua New Guinea,Sauren
SXX,SNFX,São Félix do Xingu Airport,Brazil,"São Félix do Xingu, Pará"
SXY,,Sidney Municipal Airport ,United States,"Sidney, New York"
SXZ,LTCL,Siirt Airport,Turkey,Siirt
SYA,PASY,Eareckson Air Station,United States,"Shemya, Alaska"
SYB,,Seal Bay Seaplane Base,United States,"Seal Bay, Alaska"
SYC,SPSY,Shiringayoc Airport,Peru,Shiringayoc
SYD,YSSY,Sydney Airport (Kingsford Smith Airport),Australia,"Sydney, New South Wales"
SYE,OYSH,Saadah Airport,Yemen,Sa'dah
SYF,,Silva Bay Seaplane Base,Canada,"Gabriola Island, British Columbia"
SYI,KSYI,Shelbyville Municipal Airport (Bomar Field),United States,"Shelbyville, Tennessee"
SYJ,OIKY,Sirjan Airport,Iran,Sirjan
SYK,BIST,Stykkishólmur Airport,Iceland,Stykkishólmur
SYM,ZPSM,Pu'er Simao Airport,China,"Simao, Yunnan"
SYN,KSYN,Stanton Airfield,United States,"Stanton, Minnesota"
SYO,RJSY,Shonai Airport,Japan,"Shōnai, Honshu"
SYP,MPSA,Ruben Cantu Airport,Panama,Santiago de Veraguas
SYQ,MRPV,Tobías Bolaños International Airport,Costa Rica,San José
SYR,KSYR,Syracuse Hancock International Airport,United States,"Syracuse, New York"
SYS,UERS,Saskylakh Airport,Russia,"Saskylakh, Yakutia"
SYT,LFLN,Saint-Yan Airport,France,"Saint-Yan, Burgundy"
SYU,YWBS,Warraber Island Airport,Australia,"Sue Islet, Queensland"
SYV,KSYV,Sylvester Airport,United States,"Sylvester, Georgia"
SYW,OPSN,Sehwan Sharif Airport,Pakistan,Sehwan Sharif
SYX,ZJSY,Sanya Phoenix International Airport,China,"Sanya, Hainan"
SYY,EGPO,Stornoway Airport,United Kingdom,"Stornoway, Scotland"
SYZ,OISS,Shiraz International Airport (Shahid Dastghaib Int'l),Iran,Shiraz
SZA,FNSO,Soyo Airport,Angola,Soyo
SZB,WMSA,Sultan Abdul Aziz Shah Airport,7 Malaysia,Kuala Lumpur
SZE,HASM,Semera Airport,Ethiopia,Semera
SZF,LTFH,Samsun-Çarşamba Airport,Turkey,Samsun
SZG,LOWS,Salzburg Airport,Austria,Salzburg
SZI,,Zaysan Airport,Kazakhstan,Zaysan
SZJ,MUSN,Siguanea Airport,Cuba,Isla de la Juventud
SZK,FASZ,Skukuza Airport,South Africa,Skukuza
SZL,KSZL,Whiteman Air Force Base,United States,"Knob Noster, Missouri"
SZM,,Sesriem Airport,Namibia,Sesriem
SZN,KSZN,Santa Cruz Island Airport,United States,"Santa Cruz Island, California"
SZP,KSZP,Santa Paula Airport,United States,"Santa Paula, California"
SZR,LBSZ,Stara Zagora Airport,Bulgaria,Stara Zagora
SZS,NZRC,Ryan's Creek Aerodrome,New Zealand,Stewart Island
SZU,,Ségou Airport,Mali,Ségou
SZV,ZSSZ,Suzhou Guangfu Airport,China,"Suzhou, Jiangsu"
SZW,EDOP,Schwerin-Parchim International Airport,Germany,"Schwerin, Mecklenburg-Vorpommern"
SZX,ZGSZ,Shenzhen Bao'an International Airport,China,"Shenzhen, Guangdong"
SZY,EPSY,Olsztyn-Mazury Regional Airport,Poland,Szczytno / Olsztyn
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport",Poland,Szczecin
TAA,,Tarapaina Airport,Solomon Islands,Tarapaina
TAB,TTCP,Arthur Napoleon Raymond Robinson International Airport,Trinidad and Tobago,Tobago
TAC,RPVA,Daniel Z. Romualdez Airport,Philippines,Tacloban
TAD,KTAD,Perry Stokes Airport,United States,"Trinidad, Colorado"
TAE,RKTN,Daegu International Airport,South Korea,Daegu
TAF,DAOL,Oran Tafaraoui Airport,Algeria,Oran
TAG,RPSP,Bohol–Panglao International Airport,Philippines,Tagbilaran
TAH,NVVW,Whitegrass Airport,Vanuatu,Tanna Island
TAI,OYTZ,Taiz International Airport,Yemen,Taiz (Ta'izz)
